Choi_train                              	Shaggy Ridge                                                                                        	Its only major battle during this period was the capture of                                                                                                                                                                                                                                                 	|on 27-28 December .                                                                                                                                                                                                                                                                                         
Choi_train                              	These adverse events                                                                                	                                                                                                                                                                                                                                                                                                            	|have included dysphoric mood , irritability , agitation , dizziness , sensory disturbances , anxiety , confusion , headache , lethargy , emotional lability , insomnia , and hypomania .                                                                                                                    
Choi_train                              	Hurricane Rita                                                                                      	Before                                                                                                                                                                                                                                                                                                      	|a busload of nursing home residents were being evacuated from Houston .                                                                                                                                                                                                                                     
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Choi_test                               	the investigation                                                                                   	Security sources quoted in the Russian media said                                                                                                                                                                                                                                                           	|has already confirmed that both women boarded a metro train together early Monday at the Yugo-Zapadnaya station , the western terminus of the metro 's line one .                                                                                                                                           
Choi_test                               	landslides and mudslides                                                                            	The legislature also passed a resolution demanding that the Executive Yuan submit a draft package within one month on national land protection and restoration , as years of rampant overdevelopment of mountain slopelands and river catchment areas have made many parts of Taiwan vulnerable to          	|.                                                                                                                                                                                                                                                                                                           
Choi_test                               	the Pearl Harbor attack                                                                             	After                                                                                                                                                                                                                                                                                                       	|, the BATDIV was replaced by the Task Group -LRB- TG -RRB- as the operational wartime unit .                                                                                                                                                                                                                
Choi_test                               	nearly half of all civilian deaths                                                                  	But in a shift from 2008 , when the United States and its allies were deemed responsible for                                                                                                                                                                                                                	|, the survey blamed the Taliban for the vast majority of the killings last year .                                                                                                                                                                                                                           
Choi_test                               	the tainted drywall problem                                                                         	In a letter dated Friday , a regional FEMA administrator said                                                                                                                                                                                                                                               	|does not meet the federal criteria to be an emergency or major disaster .                                                                                                                                                                                                                                   
Choi_test                               	hockey                                                                                              	Chapman retired from playing                                                                                                                                                                                                                                                                                	|after the 1943 to 1944 hockey season , and went on to served as head coach of the Buffalo Bisons of the American Hockey League from 1943 to 1945 , and the Vancouver Canucks from 1957 to 1958 .                                                                                                            
Choi_test                               	it                                                                                                  	Last month , Typhoon Xangsane left 230 people dead and missing as                                                                                                                                                                                                                                           	|ripped through Manila and neighboring provinces .                                                                                                                                                                                                                                                           
Choi_test                               	provocative actions that could worsen tensions with South Korea and Japan and their main ally , the United States	Some analysts predict that new leaders may feel compelled to prove their nationalist credentials by engaging in                                                                                                                                                                                             	|.                                                                                                                                                                                                                                                                                                           
Choi_test                               	life in prison                                                                                      	In 1962 he was arrested and convicted of sabotage and other charges , and sentenced to                                                                                                                                                                                                                      	|.                                                                                                                                                                                                                                                                                                           
Choi_test                               	its fairly clear scale advantage                                                                    	A company managed as a chain , due to                                                                                                                                                                                                                                                                       	|and a standardized operational model , which boosts the company 's risk-resistant capabilities and improves its degree of organization , develops at a stunning speed .                                                                                                                                     
Choi_test                               	a story                                                                                             	Steve Jurvetson , managing director of the Silicon Valley venture capital firm Draper , Fisher , and Jurvetson , says : `` An executive summary is n't a financial contract ; it 's                                                                                                                         	|.                                                                                                                                                                                                                                                                                                           
Choi_test                               	the overthrow of the Swiss Confederation and the establishment of the Helvetic Republic             	Encouraged by the French Republic , a republican uprising in the Swiss cantons led to                                                                                                                                                                                                                       	|.                                                                                                                                                                                                                                                                                                           
Choi_test                               	the negotiations with serious intent                                                                	The UN special envoy for Afghanistan Franchesco Bendrel says the world body has received separate letters from the two sides , pledging to participate in                                                                                                                                                   	|and to not abandon the process unilaterally .                                                                                                                                                                                                                                                               
Choi_test                               	a James Milner own goal                                                                             	Carew had given Villa an early lead but Jody Craddock equalised before                                                                                                                                                                                                                                      	|gave the visitors a lead they held until the final minutes , only to be denied what would have been a precious victory in their fight for survival .                                                                                                                                                        
Choi_test                               	the Michael Jackson trial in California                                                             	Serra covered a wide range of stories , from the death of Pope John Paul II in Rome , to                                                                                                                                                                                                                    	|.                                                                                                                                                                                                                                                                                                           
Choi_test                               	incident                                                                                            	Wednesday 's ceremony proceeded without                                                                                                                                                                                                                                                                     	|, though recent improvements around Jaffa Gate , including an upscale pedestrian mall , have fueled Palestinian concerns that city officials are trying to shift commerce away from the bustling Damascus Gate .                                                                                            
Choi_test                               	Rival parties ' House campaign operations                                                           	                                                                                                                                                                                                                                                                                                            	|raised and spent lavishly to elect individuals to the $ 174,000-a-year congressional posts .                                                                                                                                                                                                                
Choi_test                               	The race                                                                                            	                                                                                                                                                                                                                                                                                                            	|gets really , really close , and let 's suppose that states like Florida and Illinois might decide the election .                                                                                                                                                                                           
Choi_test                               	Friday                                                                                              	Mr. Ortega announced on                                                                                                                                                                                                                                                                                     	|that he would end the cease-fire this week in response to the periodic Contra assaults against his army .                                                                                                                                                                                                   
Choi_test                               	great losses                                                                                        	Because the Haitian National Police had suffered                                                                                                                                                                                                                                                            	|, strengthening the mission 's police presence would be helpful , he continued , emphasizing the government priorities of restoring the operational capacities of law-enforcement agencies and guaranteeing access to justice .                                                                             
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------FIGER_filtered_with_Choi_test           	House Committee on Judiciary ’s public hearing                                                      	UW law students Amy Shebeck , Thomas Hudson , Caroline Bercier , and Michael Windle will testify during the                                                                                                                                                                                                 	|today .                                                                                                                                                                                                                                                                                                     
FIGER_filtered_with_Choi_test           	Global Social Entrepreneurship Competition                                                          	“ Be the Change ” committee members used the Foster School of Business ’ annual                                                                                                                                                                                                                             	|( GSEC ) as a model to design their competition .                                                                                                                                                                                                                                                           
FIGER_filtered_with_Choi_test           	Bhangra Bash                                                                                        	Ramachandra said she believes these resources would help fund more constituents ’ events , such as                                                                                                                                                                                                          	|.                                                                                                                                                                                                                                                                                                           
FIGER_filtered_with_Choi_test           	CES                                                                                                 	Speaking at                                                                                                                                                                                                                                                                                                 	|, both companies have no plans to jump to the new formats in the near future , and Lexar pointed out that its new 1000x card is faster than Sony 's XQD .                                                                                                                                                   
FIGER_filtered_with_Choi_test           	The Fellows Forum                                                                                   	                                                                                                                                                                                                                                                                                                            	|, concerned in part with the induction of newly elected fellows , is just one event of the association ’s annual meeting .                                                                                                                                                                                  
FIGER_filtered_with_Choi_test           	Fellows Forum                                                                                       	Newly elected fellows are invited to attend the annual                                                                                                                                                                                                                                                      	|, held this year in Vancouver , B.C .                                                                                                                                                                                                                                                                       
FIGER_filtered_with_Choi_test           	Bhangra Bash                                                                                        	“                                                                                                                                                                                                                                                                                                           	|used to be our biggest event because we would fly in people from all of the country , but as one RSO , it was way too hard for us to put it on as a group , ” Ramachandra said .                                                                                                                            
FIGER_filtered_with_Choi_test           	CES                                                                                                 	Also at                                                                                                                                                                                                                                                                                                     	|, the SD Association announced a new standard for WiFi communications across all the SD cards .                                                                                                                                                                                                             
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------BBN_filtered_with_Choi_test             	Breeder 's Cup Day                                                                                  	Saturday , Nov. 4 , 1:30-6 p.m. EST , on NBC :                                                                                                                                                                                                                                                              	|.                                                                                                                                                                                                                                                                                                           
BBN_filtered_with_Choi_test             	French revolution                                                                                   	France 's Socialist government , which currently holds the council 's rotating presidency , is committed to having the charter adopted by all 12 EC states before the end of 1989 -- the bicentennial of the                                                                                                	|and its `` Universal Declaration of Human Rights .                                                                                                                                                                                                                                                          
BBN_filtered_with_Choi_test             	New York City Marathon                                                                              	Sunday , Nov. 5 , 10:30 a.m.-1:30 p.m. EST , on ABC :                                                                                                                                                                                                                                                       	|.                                                                                                                                                                                                                                                                                                           
BBN_filtered_with_Choi_test             	Tokyo Grand Prix                                                                                    	Ford officials , for example , crowed about their first-ever                                                                                                                                                                                                                                                	|racing victory .                                                                                                                                                                                                                                                                                            
BBN_filtered_with_Choi_test             	Series                                                                                              	The stat to reckon with here says that about three of four clubs -LRB- 29 of 39 -RRB- that took 2-0                                                                                                                                                                                                         	|leads went on to win it all .                                                                                                                                                                                                                                                                               
BBN_filtered_with_Choi_test             	Depression                                                                                          	That rose to nearly 18 % during the                                                                                                                                                                                                                                                                         	|, and has n't changed much since .                                                                                                                                                                                                                                                                          
BBN_filtered_with_Choi_test             	Tokyo Motor Show .                                                                                  	Welcome to the 28th                                                                                                                                                                                                                                                                                         	|                                                                                                                                                                                                                                                                                                            
BBN_filtered_with_Choi_test             	Olympics                                                                                            	In recent years , the World Series and the                                                                                                                                                                                                                                                                  	|were aired against CBS 's last-place lineup .                                                                                                                                                                                                                                                               
BBN_filtered_with_Choi_test             	great Depression                                                                                    	The crash of 1929 was followed by a substantial recovery before the                                                                                                                                                                                                                                         	|and awful bear market of the 1930s began .                                                                                                                                                                                                                                                                  
BBN_filtered_with_Choi_test             	World War II                                                                                        	The House joined the Senate in making federal reparations for Japanese-Americans held in                                                                                                                                                                                                                    	|internment camps a legal entitlement requiring the Treasury Department to meet expedited payments of an estimated $ 1.25 billion during the next several years .                                                                                                                                            
BBN_filtered_with_Choi_test             	World Series                                                                                        	Mr. Jackson , who won the nickname `` Mr. October '' for his                                                                                                                                                                                                                                                	|exploits , is selling some of his canceled checks to autograph collectors through a dealer for as much as $ 500 each .                                                                                                                                                                                      
BBN_filtered_with_Choi_test             	Game Three                                                                                          	The pithiest testimony to their domination of the just-concluded tournament came from Giants ' manager Roger Craig after his team had fallen in                                                                                                                                                             	|to a five-home-run barrage that tied a 61-year-old Series record .                                                                                                                                                                                                                                          
BBN_filtered_with_Choi_test             	Winter Olympics                                                                                     	And the                                                                                                                                                                                                                                                                                                     	|will air during the February `` sweeps , '' when ratings are used to set ad rates for local stations .                                                                                                                                                                                                      
BBN_filtered_with_Choi_test             	Harrisburg 7 trial                                                                                  	The                                                                                                                                                                                                                                                                                                         	|in 1972 , in which Daniel Berrigan and others were charged with plotting anti-war-related violence , was a landmark .                                                                                                                                                                                       
BBN_filtered_with_Choi_test             	Game Three                                                                                          	The sole A not to homer was cleanup hitter Mark McGwire , their regular-season leader with 33 , and he contributed five hits plus a diving fielding play on a ground ball in                                                                                                                                	|that stopped a Giant rally while the issue still was in doubt .                                                                                                                                                                                                                                             
BBN_filtered_with_Choi_test             	Series                                                                                              	The A 's offensive showing in the                                                                                                                                                                                                                                                                           	|got an A , as in awesome .                                                                                                                                                                                                                                                                                  
BBN_filtered_with_Choi_test             	World War II                                                                                        	Ms. Rose is best on the early years and                                                                                                                                                                                                                                                                     	|.                                                                                                                                                                                                                                                                                                           
BBN_filtered_with_Choi_test             	Black Monday                                                                                        	THE STOCK MARKET AVOIDED a repeat of                                                                                                                                                                                                                                                                        	|as prices recovered from an early slide , spurred by bargain-hunting institutions and program traders .                                                                                                                                                                                                     
BBN_filtered_with_Choi_test             	World Series                                                                                        	The baseball commissioner said the third game of the                                                                                                                                                                                                                                                        	|between the Giants and the Athletics would be played Tuesday in Candlestick Park .                                                                                                                                                                                                                          
BBN_filtered_with_Choi_test             	World War I                                                                                         	The family was in Allied countries during both                                                                                                                                                                                                                                                              	|and the long period of economic strife of the 1920s .                                                                                                                                                                                                                                                       
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------OntoNotes_filtered_with_Choi_test       	a speech                                                                                            	`` We could sweep it under the rug and hide it , but I 'm not going to do it , '' he said in                                                                                                                                                                                                                	|last month .                                                                                                                                                                                                                                                                                                
OntoNotes_filtered_with_Choi_test       	the 1929 crash                                                                                      	After                                                                                                                                                                                                                                                                                                       	|, Herbert Hoover said : `` The fundamental business of the country ... is on a sound and prosperous basis .                                                                                                                                                                                                 
OntoNotes_filtered_with_Choi_test       	a visit                                                                                             	They will also go to Shanghai for                                                                                                                                                                                                                                                                           	|.                                                                                                                                                                                                                                                                                                           
OntoNotes_filtered_with_Choi_test       	Friday 's market rout                                                                               	Pension funds , insurers and other behemoths of the investing world said they began scooping up stocks during                                                                                                                                                                                               	|.                                                                                                                                                                                                                                                                                                           
OntoNotes_filtered_with_Choi_test       	the '' Tumen River region investment and trade negotiation conference ''                            	In 1995 and 1996 , with the help of the United Nations Development and Planning Office and the Industrial Development Organization , China and North Korea successively held                                                                                                                                	|, and both made relatively good achievements .                                                                                                                                                                                                                                                              
OntoNotes_filtered_with_Choi_test       	the signing                                                                                         	Today , Brown separately attended                                                                                                                                                                                                                                                                           	|of a 20 - year joint investment agreement between a world famous power plant equipment manufacturer -- the US 's Westinghouse Company and the Shanghai Electric Group ; and the signing of a joint investment agreement between the US 's General Electric Capital Company and the Shanghai Electricity Company to jointly invest in and establish a combustible engine electric power generation company .
OntoNotes_filtered_with_Choi_test       	the anniversary of the 1987 crash                                                                   	In a similar vein , he adds that                                                                                                                                                                                                                                                                            	|and Saturday 's full moon could have played a part , too , in Friday 's market activity .                                                                                                                                                                                                                   
OntoNotes_filtered_with_Choi_test       	a similar congressional hearing                                                                     	The last time I saw                                                                                                                                                                                                                                                                                         	|was when `` Tail Gunner Joe '' McCarthy did his work .                                                                                                                                                                                                                                                      
OntoNotes_filtered_with_Choi_test       	warfare                                                                                             	He points out , '' At a time when we are on the threshold of the 21st century ,                                                                                                                                                                                                                             	|no longer has any use .                                                                                                                                                                                                                                                                                     
OntoNotes_filtered_with_Choi_test       	the signing                                                                                         	Today , Brown separately attended the signing of a 20 - year joint investment agreement between a world famous power plant equipment manufacturer -- the US 's Westinghouse Company and the Shanghai Electric Group ; and                                                                                   	|of a joint investment agreement between the US 's General Electric Capital Company and the Shanghai Electricity Company to jointly invest in and establish a combustible engine electric power generation company .                                                                                         
OntoNotes_filtered_with_Choi_test       	the handing - over and taking - over ceremony                                                       	Minister of China 's Mechanical Industry Ministry , Xuding Bao , who came specially to attend                                                                                                                                                                                                               	|, handed this group of mechanical products whose total value is 5.5 million US dollars , to Masa , the governor of LaRioja Province .                                                                                                                                                                       
OntoNotes_filtered_with_Choi_test       	military actions                                                                                    	Ashitaer , the UN representative of Yemen strongly condemned this incident and asked the United Nations Security Council to be responsible for the passed resolution No. 678 which permits                                                                                                                  	|against Iraq .                                                                                                                                                                                                                                                                                              
OntoNotes_filtered_with_Choi_test       	the signing of a 20 - year joint investment agreement between a world famous power plant equipment manufacturer -- the US 's Westinghouse Company and the Shanghai Electric Group ; and the signing of a joint investment agreement between the US 's General Electric Capital Company and the Shanghai Electricity Company to jointly invest in and establish a combustible engine electric power generation company	Today , Brown separately attended                                                                                                                                                                                                                                                                           	|.                                                                                                                                                                                                                                                                                                           
OntoNotes_filtered_with_Choi_test       	activities                                                                                          	It is reported that in the past 5 years , Shanghai , through such methods as actively purchasing export goods from other provinces and cities and by holding                                                                                                                                                	|such as the East China Export Goods Trade Fair , etc. , has strengthened its influence as a port city on the entire country .                                                                                                                                                                               
OntoNotes_filtered_with_Choi_test       	this crash                                                                                          	`` There is no justification on the fundamental level for                                                                                                                                                                                                                                                   	|. ''                                                                                                                                                                                                                                                                                                        
OntoNotes_filtered_with_Choi_test       	this bombing                                                                                        	The Tunisian government thinks that                                                                                                                                                                                                                                                                         	|again shows that the activity of the multi-national forces has exceeded authorized limits set by the United Nations Security Council decision .                                                                                                                                                             
OntoNotes_filtered_with_Choi_test       	the fifth anniversary                                                                               	Xuming Zhang recently said at the joint meeting for                                                                                                                                                                                                                                                         	|of the establishment of the Chinese Enterprise Association in Macau , that Macau 's inland investment enterprises , from small to large and from weak to strong , have developed into an important force in Macau 's economic domain .                                                                      
OntoNotes_filtered_with_Choi_test       	The handover ceremony for China mechanical products purchased by Argentina 's LaRioja Province using a loan provided by the Bank of China	                                                                                                                                                                                                                                                                                                            	|, was held today in Catamarca City of this province .                                                                                                                                                                                                                                                       
OntoNotes_filtered_with_Choi_test       	The announcement                                                                                    	                                                                                                                                                                                                                                                                                                            	|also made some stipulations about the rights , responsibilities and obligations of the owners of intellectual property rights .                                                                                                                                                                             
OntoNotes_filtered_with_Choi_test       	Friday 's rout                                                                                      	Denver - based portfolio manager James Craig was n't daunted when                                                                                                                                                                                                                                           	|shaved $ 40 million from the value of the $ 752 million Janus Fund he oversees .                                                                                                                                                                                                                            
